label,description,class_idx
n02410509,bison,348
n03637318,"lampshade, lamp shade",620
n02699494,altar,407
n01737021,water snake,59
n04008634,"projectile, missile",745
n02978881,cassette,482
n03476684,hair slide,585
n02277742,"ringlet, ringlet butterfly",323
n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",124
n03125729,cradle,517
n12267677,acorn,989
n01978287,"Dungeness crab, Cancer magister",119
n02105056,groenendael,225
n04154565,screwdriver,785
n04141975,"scale, weighing machine",779
n07932039,eggnog,970
n02167151,"ground beetle, carabid beetle",303
n04258138,"solar dish, solar collector, solar furnace",808
n02095570,Lakeland terrier,190
n02769748,"backpack, back pack, knapsack, packsack, rucksack, haversack",415
n07584110,consomme,926
n02128757,"snow leopard, ounce, Panthera uncia",290
n03590841,jack-o'-lantern,608
n02017213,"European gallinule, Porphyrio porphyrio",137
n01990800,isopod,127
n02105056,groenendael,225
n02114367,"timber wolf, grey wolf, gray wolf, Canis lupus",270
n02138441,"meerkat, mierkat",300
n04429376,throne,858
n03085013,"computer keyboard, keypad",509
n03598930,jigsaw puzzle,612
n02056570,"king penguin, Aptenodytes patagonica",146
n03272562,electric locomotive,548
n03954731,"plane, carpenter's plane, woodworking plane",727
n03916031,"perfume, essence",712
n09428293,"seashore, coast, seacoast, sea-coast",979
n03290653,entertainment center,549
n01698640,"American alligator, Alligator mississipiensis",51
n02783161,"ballpoint, ballpoint pen, ballpen, Biro",419
n01580077,jay,18
n04086273,"revolver, six-gun, six-shooter",764
n02398521,"hippopotamus, hippo, river horse, Hippopotamus amphibius",345
n02007558,flamingo,131
n04560804,water jug,900
n01443537,"goldfish, Carassius auratus",2
n01440764,"tench, Tinca tinca",1
n01698640,"American alligator, Alligator mississipiensis",51
n02490219,marmoset,378
n02110627,"affenpinscher, monkey pinscher, monkey dog",253
n02089973,English foxhound,168
n02093256,"Staffordshire bullterrier, Staffordshire bull terrier",180
n03272010,electric guitar,547
n12768682,"buckeye, horse chestnut, conker",991
n01669191,"box turtle, box tortoise",38
n02108551,Tibetan mastiff,245
n02009229,"little blue heron, Egretta caerulea",132
n04277352,spindle,817
n04259630,sombrero,809
n03388549,four-poster,565
n02085782,Japanese spaniel,153
n03837869,obelisk,683
n02877765,bottlecap,456
n04355933,sunglass,837
n01739381,vine snake,60
n03467068,guillotine,584
n13040303,"stinkhorn, carrion fungus",995
n03873416,"paddle, boat paddle",694
n04548280,wall clock,893
n01797886,"ruffed grouse, partridge, Bonasa umbellus",83
n02092339,Weimaraner,179
n04147183,schooner,781
n03933933,pier,719
n04131690,"saltshaker, salt shaker",774
n04417672,"thatch, thatched roof",854
n03903868,"pedestal, plinth, footstall",709
n04037443,"racer, race car, racing car",752
n07932039,eggnog,970
n07892512,red wine,967
n07684084,French loaf,931
n03188531,"diaper, nappy, napkin",530
n04336792,stretcher,831
n02422106,hartebeest,352
n02963159,cardigan,475
n03207941,"dishwasher, dish washer, dishwashing machine",535
n02102973,Irish water spaniel,222
